2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '41'
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '42'
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '43'
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '44'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '45'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '46'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '47'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '48'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '49'
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,151 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '50'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '51'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '52'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '53'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '54'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '55'
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,152 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '56'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '57'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '58'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '59'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '60'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '61'
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,153 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '62'
2014-04-20 10:22:52,154 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,154 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '63'
2014-04-20 10:22:52,154 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,154 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '64'
